"unique_storm_number","sub_storms","suspended_sediment_load_pounds","chloride_load_pounds","no2_no3_n_load_pounds","ammonium_n_load_pounds","tkn_unfiltered_load_pounds","orthophosphate_load_pounds","total_phosphorus_unfiltered_load_pounds","total_nitrogen_computed_load_pounds","organic_nitrogen_computed_load_pounds","sum_runoff","sample_start","sample_end","storm_start","storm_end","peak_discharge","runoff_volume","frozen"
78,"OH-FM1-38",599.0030652,13.17085053,2.70633915,0.198464871,2.52591654,0.1581704881,0.950225746,5.23225569,2.327451669,9634,0014-06-23 16:32:00,0014-06-24 01:15:00,0014-06-23 16:32:00,0014-06-24 01:30:00,2.02,9634,0
79,"OH-FM1-39",456.49509354,6.232589838,1.066839702,0.1291437534,2.0045356506,0.11679087264,0.8029372494,3.0713753526,1.8753918972,8994,0014-06-24 08:12:00,0014-06-24 16:30:00,0014-06-24 08:11:00,0014-06-24 16:45:00,1.49,8994,0
83,"OH-FM1-41",29.78510298,0.113107986,0.087972878,0.018851331,0.1709187344,0.0333040181,0.0716350578,0.2588916124,0.1520674034,2013,0014-08-11 12:30:00,0014-08-12 11:00:00,0014-08-11 15:21:00,0014-08-11 17:30:00,0.82,2013,0
86,"OH-FM1-42",2.8155636,0.91263096,0.00970884,0.011650608,0.12621492,0.0749522448,0.09223398,0.13592376,0.31068288,1555,0015-01-03 14:30:00,0015-01-04 02:15:00,0015-01-03 14:00:00,0015-01-04 13:12:00,0.04,1555,0
92,"OH-FM1-43a",7.72500036,1.40454552,0.35113638,0.035113638,0.304318196,0.06952500324,0.1088522778,0.327727288,1.919545544,3750,0015-03-09 14:37:00,0015-03-10 05:30:00,0015-03-09 14:37:00,0015-03-10 05:30:00,0.09,3750,0
93,"OH-FM1-43b",34.53758016,4.31719752,2.446411928,0.107929938,1.367112548,0.1870785592,0.3669617892,1.43906584,6.619702864,11526,0015-03-10 10:50:00,0015-03-11 10:25:00,0015-03-10 05:30:00,0015-03-11 10:25:00,0.21,11526,0
94,"OH-FM1-43c",28.07580776,4.594223088,2.297111544,0.095712981,1.084747118,0.15760737538,0.29415789494,1.148555772,6.508482708,10221,0015-03-11 10:26:00,0015-03-12 20:35:00,0015-03-11 10:25:00,0015-03-12 20:35:00,0.25,10221,0
95,"OH-FM1-44",79.05584784,9.860729408,4.930364704,0.085006288,1.870138336,0.16491219872,0.53468955152,1.955144624,9.520704256,13617,0015-03-13 17:13:00,0015-03-14 11:02:00,0015-03-12 20:35:00,0015-03-14 16:16:00,0.39,13617,0
100,"OH-FM1-47",2868.989189,0.28182605,4.05829512,0.422739075,6.7638252,0.0710201646,2.564617055,6.82019041,9.13116402,9029,0015-06-14 00:43:00,0015-06-14 09:30:00,0015-06-14 00:41:00,0015-06-14 10:45:00,2.48,9029,0
102,"OH-FM1-48",124.003462,0.12459678,0.18392858,0.010679724,0.33225808,0.0082471202,0.135869822,0.33819126,1.07983876,950,0015-06-15 17:52:00,0015-06-15 20:00:00,0015-06-15 17:52:00,0015-06-15 20:00:00,0.48,950,0
103,"OH-FM1-49",2010.0966584,0.66559492,9.584566848,1.5841159096,8.120258024,0.15441802144,2.2896465248,8.253377008,25.558844928,21324,0015-06-15 22:43:00,0015-06-16 07:45:00,0015-06-15 20:00:00,0015-06-16 07:45:00,3.05,21324,0
106,"OH-FM1-50",64.18028682,0.27427473,6.418028682,0.3675281382,1.042243974,0.05814624276,0.2139342894,1.09709892,12.177798012,8787,0015-06-27 00:20:00,0015-06-27 09:45:00,0015-06-27 00:19:00,0015-06-27 11:45:00,0.83,8787,0
107,"OH-FM1-51",216.183504,0.0647256,1.25567664,0.086732304,0.27184752,0.0088026816,0.0302915808,0.28479264,3.00326784,2074,0015-06-27 21:15:00,0015-06-28 03:30:00,0015-06-27 21:00:00,0015-06-28 04:45:00,0.2,2074,0
108,"OH-FM1-52",45.81547658,0.087163808,0.032686428,0.0049029642,0.16343214,0.0065372856,0.062648987,0.168879878,1.318352596,873,0015-06-30 12:38:00,0015-06-30 14:29:00,0015-06-30 12:34:00,0015-06-30 15:45:00,0.42,873,0
118,"OH-FM1-53",23.40477696,0.05178048,0.010356096,0.0020712192,0.165697536,0.00859555968,0.05405882112,0.176053632,3.541784832,1659,0015-07-17 10:38:00,0015-07-17 13:15:00,0015-07-17 10:36:00,0015-07-17 14:00:00,0.54,1659,0
119,"OH-FM1-54",1.19095104,0.036246336,0.001726016,0.0006904064,0.032794304,0.00100108928,0.00778433216,0.03452032,0.607557632,276,0015-07-17 17:41:00,0015-07-17 19:15:00,0015-07-17 17:39:00,0015-07-17 20:00:00,0.13,276,0
123,"OHFM1-55",106.41068433333,0.65339893889,0.12834622014,0.0058339191,0.48771563653,0.05997268832,0.23335676389,0.61606185667,0.48188171743,16148,0015-12-27 01:11:00,0015-12-27 04:23:00,0015-12-27 01:02:00,0015-12-27 15:00:00,0.97,16148,0
124,"OHFM1-56",16.49316663426,0.67157804259,0.1975229537,0.00197522954,0.14616698574,0.03683803087,0.08374973237,0.34368993944,0.1441917562,13668,0015-12-28 09:22:00,0015-12-29 04:15:00,0015-12-28 09:22:00,0015-12-29 04:15:00,0.87,13668,0
125,"OHFM1-57",1.34720143519,0.05356343056,0.01785447685,0.00024347014,0.01371548449,0.00309207076,0.00745830192,0.03156996134,0.01347201435,1123,0016-01-10 03:58:00,0016-01-10 10:15:00,0016-01-10 03:58:00,0016-01-10 10:15:00,0.1,1123,0
126,"OHFM1-58",0.7146785,0.0261387044,0.00860261157,0.00016543484,0.00608800204,0.00115473517,0.00314326192,0.01469061361,0.0059225672,458,0016-01-15 15:45:00,0016-01-15 23:00:00,0016-01-15 15:37:00,0016-01-16 00:00:00,0.04,458,0
128,"OHFM1-59",1.78438640509,0.05233359421,0.01639365602,0.00018915757,0.01733944387,0.00167089186,0.00624219979,0.03373309988,0.0171502863,873,0016-02-24 07:42:00,0016-02-24 14:45:00,0016-02-24 07:36:00,0016-02-24 15:15:00,0.11,873,0
131,"OHFM1-60",0.62927666667,0.02112571667,0.0080907,0.00022474167,0.007686165,0.000970884,0.00275533283,0.015776865,0.00746142333,622,0016-03-10 14:21:00,0016-03-10 21:15:00,0016-03-10 14:14:00,0016-03-10 22:00:00,0.07,622,0
133,"OHFM1-61",4.00464678704,0.01303501667,0.00217250278,0.00021725028,0.02534586574,0.00175248557,0.01231084907,0.02751836852,0.02512861546,1002,0016-03-14 19:23:00,0016-03-15 00:00:00,0016-03-14 19:23:00,0016-03-15 00:00:00,0.18,1002,0
134,"OHFM1-62",20.99773877315,0.01354692824,0.00774110185,0.00116116528,0.07412105023,0.00239974157,0.03096440741,0.08186215208,0.07295988495,1339,0016-05-01 23:59:00,0016-05-02 05:15:00,0016-05-01 23:59:00,0016-05-02 05:15:00,0.24,1339,0
135,"OHFM1-63",1.90150178472,0.00494431667,0.00061803958,0.00016481056,0.00949720826,0.00049855193,0.00391425069,0.01011524785,0.00933239771,285,0016-05-12 22:11:00,0016-05-12 23:45:00,0016-05-12 22:11:00,0016-05-12 23:45:00,0.09,285,0
136,"OHFM1-64a",0.78609640741,0.00119862222,0.00019977037,5.993111e-05,0.00236727889,0.00036557978,0.00159816296,0.00256704926,0.00230734778,138,0016-06-23 02:02:00,0016-06-23 02:55:00,0016-06-23 02:02:00,0016-06-23 02:58:00,0.1,138,0
137,"OHFM1-64b",197.61035324074,0.05200272454,0.01040054491,0.00312016347,0.45450381245,0.02683340586,0.24961307778,0.46490435736,0.45138364898,14394,0016-06-23 02:58:00,0016-06-23 04:13:00,0016-06-23 02:58:00,0016-06-23 10:00:00,2.65,14394,0
138,"OHFM1-66",88.2560525,0.037082375,0.066748275,0.00296659,0.265509805,0.01594542125,0.1186636,0.33225808,0.262543215,10264,0016-06-26 19:56:00,0016-06-27 01:15:00,0016-06-26 19:56:00,0016-06-27 01:00:00,2.68,10264,0
139,"OHFM1-67",0.04682118056,0.00044948333,1.872847e-05,1.87285e-06,0.00033149396,8.109428e-05,0.00017792049,0.00035022243,0.00032962111,26,0016-08-13 14:35:00,0016-08-13 14:55:00,0016-08-13 14:35:00,0016-08-13 14:55:00,0.04,26,0
140,"OHFM1-68",0.08490240741,0.00249712963,0.00012485648,4.369977e-05,0.00153573472,0.00046384183,0.00068671065,0.0016605912,0.00149203495,86,0016-08-14 01:42:00,0016-08-14 02:30:00,0016-08-14 01:39:00,0016-08-14 02:30:00,0.09,86,0
146,"OH-FM1-70",0.76138605899,0.05088855802,0.0295231329,0.00023307736,0.01021655783,0.00165096467,0.0036204684,0.03973969073,0.00998348047,538,0017-01-12 08:07:00,0017-01-12 15:15:00,0017-01-12 08:03:00,0017-01-12 16:30:00,0.09,538,0
148,"OH-FM1-71",0.3701238102,0.01497610793,0.00492072118,0.0001069722,0.00515606001,0.00073168984,0.00213944399,0.01007678119,0.00504908782,296,0017-01-20 05:12:00,0017-01-20 08:15:00,0017-01-20 04:55:00,0017-01-20 10:15:00,0.04,296,0
150,"OH-FM1-72",0.72181404792,0.06969239083,0.00398242233,0.00054758307,0.01115078253,0.00331536659,0.00547583071,0.01513320487,0.01060319946,689,0017-02-07 05:21:00,0017-02-07 14:15:00,0017-02-07 05:21:00,0017-02-07 14:15:00,0.07,689,0
153,"OH-FM1-73",5.75433783028,0.00113200088,0.00094333407,0.00021696684,0.01613101261,0.00034997694,0.00650900509,0.01707434668,0.01591404577,131,0017-04-30 02:03:00,0017-04-30 02:45:00,0017-04-30 02:03:00,0017-04-30 03:00:00,0.1,131,0
155,"OH-FM1-74",20.47407959146,0.00378072492,0.00407154992,0.00072706249,0.06427232372,0.00092191523,0.02239352455,0.06834387364,0.06354526123,402,0017-04-30 18:21:00,0017-04-30 20:15:00,0017-04-30 18:21:00,0017-04-30 20:15:00,0.28,402,0
156,"OH-FM1-75",47.37161655364,0.0084929193,0.0160421809,0.00150985232,0.15098523204,0.00228365163,0.05661946202,0.16702741295,0.14947537972,1306,0017-05-01 08:23:00,0017-05-01 12:00:00,0017-05-01 08:23:00,0017-05-01 12:15:00,0.45,1306,0
157,"OH-FM1-76a",6.7281910388,0.02325411649,0.04340768412,0.0010851921,0.01581279922,0.00317806259,0.00837148194,0.05922048334,0.01472760711,2146,0017-05-04 10:40:00,0017-05-04 18:18:00,0017-05-04 10:37:00,0017-05-04 18:18:00,0.17,2146,0
158,"OH-FM1-76b",0.99172070426,0.0134470604,0.03109632717,0.00042022064,0.01428750167,0.00152960312,0.00460561819,0.04538382884,0.01386728103,1163,0017-05-04 18:18:00,0017-05-04 23:15:00,0017-05-04 18:18:00,0017-05-05 00:15:00,0.14,1163,0
161,"OH-FM1-78",78.49251334367,0.07324340281,0.40283871545,0.0061036169,0.3320367594,0.01440453589,0.12207233802,0.73487547485,0.3259331425,16895,0017-05-05 08:40:00,0017-05-05 17:44:00,0017-05-05 08:37:00,0017-05-05 17:44:00,1.96,16895,0
162,"OH-FM1-79",5.16437968785,0.02692330643,0.10769322572,0.00122378666,0.04405631961,0.00293708797,0.01475886707,0.15174954533,0.04283253296,3387,0017-05-05 17:44:00,0017-05-06 00:45:00,0017-05-05 17:44:00,0017-05-06 01:15:00,0.34,3387,0
163,"OH-FM1-80",42.57800068468,0.00487800335,0.00348428811,0.00048780034,0.09477263655,0.00127524945,0.04320517254,0.09825692466,0.09428483621,964,0017-05-11 02:45:00,0017-05-11 06:30:00,0017-05-11 02:44:00,0017-05-11 07:00:00,0.3,964,0
164,"OH-FM1-81",660.76351521142,0.03087679978,0.03087679978,0.00555782396,1.29065023065,0.00920128633,0.55578239597,1.32152703042,1.28509240669,8547,0017-05-19 13:11:00,0017-05-19 16:15:00,0017-05-19 13:11:00,0017-05-19 16:30:00,4.8,8547,0
165,"OH-FM1-82",311.97917597369,0.03318927404,0.02655141923,0.00398271288,0.73680188368,0.00882834689,0.28542775674,0.76335330291,0.7328191708,9187,0017-05-19 17:29:00,0017-05-19 21:15:00,0017-05-19 17:28:00,0017-05-19 22:00:00,3.86,9187,0
166,"OH-FM1-83",10.56905708914,0.0024227065,0.01302204742,0.00018170299,0.02543841821,0.00039368981,0.01150785586,0.03846046563,0.02525671522,419,0017-05-20 15:15:00,0017-05-20 17:00:00,0017-05-20 15:15:00,0017-05-20 17:30:00,0.15,419,0
167,"OH-FM1-84",3.18716492842,0.00118924064,0.00309202568,0.00011892406,0.00975177329,0.00035439371,0.00451911445,0.01284379897,0.00963284922,329,0017-05-21 08:26:00,0017-05-21 10:15:00,0017-05-21 08:26:00,0017-05-21 10:45:00,0.08,329,0
169,"OH-FM1-85a",25.37790313354,0.00431596992,0.00402823859,0.0071069638,0.07682426459,0.00159978618,0.03165044608,0.08085250318,0.06971730079,398,0017-05-27 01:43:00,0017-05-27 02:18:00,0017-05-27 01:43:00,0017-05-27 02:18:00,0.33,398,0
170,"OH-FM1-85b",221.45461815712,0.02747575908,0.09891273268,0.07913018614,0.64842791421,0.01577108571,2.0112255644,0.74734064688,0.56929772807,7605,0017-05-27 02:18:00,0017-05-27 08:30:00,0017-05-27 02:18:00,0017-05-27 09:45:00,1.6,7605,0
171,"OH-FM1-87",394.2208281186,0.03811527344,0.32670234374,0.05118336719,0.8548711328,0.00773195547,1.25235898435,1.18157347654,0.80368776561,7536,0017-05-28 19:34:00,0017-05-28 23:30:00,0017-05-28 19:34:00,0017-05-29 00:00:00,3.43,7536,0
172,"OH-FM1-88",2.89505725064,0.00117685254,0.00223601983,0.00023537051,0.00985025577,0.00036600114,0.00458972491,0.0120862756,0.00961488526,163,0017-06-30 20:19:00,0017-06-30 20:50:00,0017-06-30 20:19:00,0017-06-30 21:45:00,0.1,163,0
173,"OH-FM1-89",11.25609867199,0.00167004431,0.00400810635,0.00016700443,0.02568528154,0.00057783533,0.01202431906,0.02969338789,0.02551827711,462,0017-07-10 12:20:00,0017-07-10 13:00:00,0017-07-10 12:20:00,0017-07-10 13:00:00,0.36,462,0
174,"OH-FM1-90a",23.42935601186,0.00351792132,0.01547885382,0.00070358426,0.0505173502,0.00108351977,0.02321828073,0.06599620402,0.04981376594,974,0017-07-10 13:00:00,0017-07-10 14:05:00,0017-07-10 13:00:00,0017-07-10 14:05:00,0.77,974,0
175,"OH-FM1-90b",11.63055162707,0.00274305463,0.02907637907,0.00109722185,0.03072221185,0.00091618025,0.01371527315,0.05979859091,0.02962498999,759,0017-07-10 14:05:00,0017-07-10 16:15:00,0017-07-10 14:05:00,0017-07-10 16:30:00,0.43,759,0
176,"OH-FM1-92",7.08384016557,0.00194968078,0.01072324429,0.00081236699,0.02079659498,0.00052966328,0.00844861671,0.03151983927,0.01998422799,450,0017-07-10 22:27:00,0017-07-10 23:45:00,0017-07-10 22:27:00,0017-07-11 00:45:00,0.3,450,0
177,"OH-FM1-93",261.68630225932,0.17492399884,5.42264396393,0.22740119849,1.33292087113,0.02483920783,0.34984799767,6.75556483506,1.10551967265,48419,0017-07-13 02:32:00,0017-07-13 14:30:00,0017-07-13 02:32:00,0017-07-13 16:15:00,5.9,48419,0
182,"OH-FM1-95",15.00277738887,0.31966145005,0.06819444268,0.00468836793,0.13596267009,0.07671874801,0.11934027468,0.20415711276,0.13127430215,683,0017-11-05 16:24:00,0017-11-05 20:15:00,0017-11-05 16:24:00,0017-11-05 20:15:00,0.12,683,0
183,"OH-FM1-96",5.71111841517,0.14565268441,0.03066372303,0.00191648269,0.04331250879,0.02491427497,0.03832965379,0.07397623182,0.0413960261,307,0017-11-18 01:18:00,0017-11-18 04:15:00,0017-11-18 01:18:00,0017-11-18 04:15:00,0.05,307,0
184,"OH-FM1-97",20.29817910079,0.81737633963,0.28608171887,0.0081737634,0.2138801422,0.13255119641,0.20434408491,0.49996186107,0.20570637881,2182,0017-11-18 04:38:00,0017-11-18 10:19:00,0017-11-18 04:38:00,0017-11-18 10:19:00,0.23,2182,0
185,"OH-FM1-98",339.74637202364,10.09147639674,4.54116437853,0.15137214595,2.37149695323,1.01587529061,1.85010400607,6.91266133177,2.22012480728,26942,0017-11-18 10:19:00,0017-11-18 21:56:00,0017-11-18 10:19:00,0017-11-18 21:56:00,1.74,26942,0
